accuracy,precision,recall,f1,n_classes,n_features,n_char_features,n_obs_train,n_obs_test,signal_train,signal_test,diff_train,diff_test,noise_train,noise_test,classifier,n_hidden_GNN,n_hidden_FC
0.666,0.697737279026657,0.666,0.675024713747175,5,125,5,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.648,0.651013884532774,0.648,0.648112378768651,5,50,10,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,32
0.6328,0.638388786679007,0.6328,0.63355023513087,5,50,10,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,8,0
0.6324,0.638536165140961,0.6324,0.632499296156292,5,125,10,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,16
0.6284,0.648648099896148,0.6284,0.632853088902983,5,125,5,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.618,0.618900029560865,0.618,0.617911258985922,5,125,50,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,0
0.612,0.646971079991203,0.612,0.610310051491902,5,125,50,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,16
0.612,0.616469717877869,0.612,0.613005870609845,5,50,10,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.612,0.615424043211559,0.612,0.611477623485754,5,50,5,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,0
0.6116,0.612389965023894,0.6116,0.609277889649984,5,50,10,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,4,0
0.608,0.62708427968239,0.608,0.610578008809973,5,50,5,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,32
0.6004,0.618346006731298,0.6004,0.603391663325603,5,125,5,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,16
0.5972,0.611041019811426,0.5972,0.596046513434229,5,125,5,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.5964,0.603147910594012,0.5964,0.59802332595693,5,50,10,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,0
0.5904,0.598402188921703,0.5904,0.5927216762096,5,50,10,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,16
0.5876,0.595342327699675,0.5876,0.588252046225782,5,125,50,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.5852,0.617517396616814,0.5852,0.591057378142612,5,125,10,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.5844,0.596188455735095,0.5844,0.584432973521053,5,50,10,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,16,0
0.584,0.588277692017237,0.584,0.585274548019033,5,50,10,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.578,0.57988379587174,0.578,0.57801620475395,5,125,50,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,16,0
0.5768,0.610239302049007,0.5768,0.575627010320305,5,50,5,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,16
0.5768,0.583612924706234,0.5768,0.577559944987777,5,50,5,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.5756,0.579220812768052,0.5756,0.575501945897937,5,125,50,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,8,0
0.5752,0.576021900376491,0.5752,0.575521334393702,5,125,50,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,32
0.5724,0.573929133918343,0.5724,0.572859499106377,5,50,10,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.5708,0.578179364811998,0.5708,0.571347404450334,5,50,5,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,8,0
0.5704,0.571674485162468,0.5704,0.570254819798698,5,125,10,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,0
0.5648,0.569724447986161,0.5648,0.56528058759238,5,50,5,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,16
0.5628,0.571137202284189,0.5628,0.564070477268544,5,125,50,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.56,0.559478406520387,0.56,0.559378752478838,5,125,50,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,4,0
0.556,0.589217674127482,0.556,0.555205380000424,5,125,50,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,32
